"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AR,HAI_6_SIR,Clostridium Difficile (C.Diff),0.342,,01/01/2024,12/31/2024
AS,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,Not Available,5,01/01/2024,12/31/2024
AS,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,Not Available,5,01/01/2024,12/31/2024
AS,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),Not Available,5,01/01/2024,12/31/2024
AS,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,Not Available,5,01/01/2024,12/31/2024
AS,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,Not Available,5,01/01/2024,12/31/2024
AS,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),Not Available,5,01/01/2024,12/31/2024
AS,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,Not Available,5,01/01/2024,12/31/2024
AS,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,Not Available,5,01/01/2024,12/31/2024
AS,HAI_3_SIR,SSI - Colon Surgery,Not Available,5,01/01/2024,12/31/2024
AS,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,Not Available,5,01/01/2024,12/31/2024
AS,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,Not Available,5,01/01/2024,12/31/2024
AS,HAI_4_SIR,SSI - Abdominal Hysterectomy,Not Available,5,01/01/2024,12/31/2024
AS,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,Not Available,5,01/01/2024,12/31/2024
AS,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,Not Available,5,01/01/2024,12/31/2024
AS,HAI_5_SIR,MRSA Bacteremia,Not Available,5,01/01/2024,12/31/2024
AS,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,Not Available,5,01/01/2024,12/31/2024
AS,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,Not Available,5,01/01/2024,12/31/2024
AS,HAI_6_SIR,Clostridium Difficile (C.Diff),Not Available,5,01/01/2024,12/31/2024
AZ,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.455,,01/01/2024,12/31/2024
AZ,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.606,,01/01/2024,12/31/2024
AZ,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.527,,01/01/2024,12/31/2024
AZ,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.369,,01/01/2024,12/31/2024
AZ,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.495,,01/01/2024,12/31/2024
AZ,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.428,,01/01/2024,12/31/2024
AZ,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.776,,01/01/2024,12/31/2024
AZ,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.036,,01/01/2024,12/31/2024
AZ,HAI_3_SIR,SSI - Colon Surgery,0.899,,01/01/2024,12/31/2024
AZ,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.977,,01/01/2024,12/31/2024
AZ,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.686,,01/01/2024,12/31/2024
AZ,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.295,,01/01/2024,12/31/2024
AZ,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.467,,01/01/2024,12/31/2024
AZ,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.679,,01/01/2024,12/31/2024
AZ,HAI_5_SIR,MRSA Bacteremia,0.565,,01/01/2024,12/31/2024
AZ,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.359,,01/01/2024,12/31/2024
AZ,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.418,,01/01/2024,12/31/2024
AZ,HAI_6_SIR,Clostridium Difficile (C.Diff),0.388,,01/01/2024,12/31/2024
CA,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.557,,01/01/2024,12/31/2024
CA,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.630,,01/01/2024,12/31/2024
CA,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.593,,01/01/2024,12/31/2024
CA,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.540,,01/01/2024,12/31/2024
CA,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.607,,01/01/2024,12/31/2024
CA,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.573,,01/01/2024,12/31/2024
CA,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.722,,01/01/2024,12/31/2024
CA,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.843,,01/01/2024,12/31/2024
CA,HAI_3_SIR,SSI - Colon Surgery,0.781,,01/01/2024,12/31/2024
CA,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.974,,01/01/2024,12/31/2024
CA,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.306,,01/01/2024,12/31/2024
CA,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.131,,01/01/2024,12/31/2024
CA,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.588,,01/01/2024,12/31/2024
CA,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.691,,01/01/2024,12/31/2024
CA,HAI_5_SIR,MRSA Bacteremia,0.638,,01/01/2024,12/31/2024
CA,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.394,,01/01/2024,12/31/2024
CA,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.422,,01/01/2024,12/31/2024
CA,HAI_6_SIR,Clostridium Difficile (C.Diff),0.408,,01/01/2024,12/31/2024
CO,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.452,,01/01/2024,12/31/2024
CO,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.650,,01/01/2024,12/31/2024
CO,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.544,,01/01/2024,12/31/2024
CO,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.421,,01/01/2024,12/31/2024
CO,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.597,,01/01/2024,12/31/2024
CO,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.503,,01/01/2024,12/31/2024
CO,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.850,,01/01/2024,12/31/2024
CO,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.166,,01/01/2024,12/31/2024
CO,HAI_3_SIR,SSI - Colon Surgery,0.999,,01/01/2024,12/31/2024
CO,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.784,,01/01/2024,12/31/2024
CO,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.497,,01/01/2024,12/31/2024
CO,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.097,,01/01/2024,12/31/2024
CO,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.400,,01/01/2024,12/31/2024
CO,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.646,,01/01/2024,12/31/2024
CO,HAI_5_SIR,MRSA Bacteremia,0.511,,01/01/2024,12/31/2024
CO,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.295,,01/01/2024,12/31/2024
CO,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.363,,01/01/2024,12/31/2024
CO,HAI_6_SIR,Clostridium Difficile (C.Diff),0.328,,01/01/2024,12/31/2024
CT,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.426,,01/01/2024,12/31/2024
CT,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.629,,01/01/2024,12/31/2024
CT,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.520,,01/01/2024,12/31/2024
CT,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.315,,01/01/2024,12/31/2024
CT,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.476,,01/01/2024,12/31/2024
CT,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.389,,01/01/2024,12/31/2024
CT,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.693,,01/01/2024,12/31/2024
CT,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.075,,01/01/2024,12/31/2024
CT,HAI_3_SIR,SSI - Colon Surgery,0.869,,01/01/2024,12/31/2024
CT,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.739,,01/01/2024,12/31/2024
CT,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.652,,01/01/2024,12/31/2024
CT,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.128,,01/01/2024,12/31/2024
CT,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.437,,01/01/2024,12/31/2024
CT,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.702,,01/01/2024,12/31/2024
CT,HAI_5_SIR,MRSA Bacteremia,0.558,,01/01/2024,12/31/2024
CT,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.324,,01/01/2024,12/31/2024
CT,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.404,,01/01/2024,12/31/2024
CT,HAI_6_SIR,Clostridium Difficile (C.Diff),0.362,,01/01/2024,12/31/2024
DC,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.849,,01/01/2024,12/31/2024
DC,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.317,,01/01/2024,12/31/2024
DC,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),1.064,,01/01/2024,12/31/2024
DC,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.162,,01/01/2024,12/31/2024
DC,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.369,,01/01/2024,12/31/2024
DC,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.250,,01/01/2024,12/31/2024
DC,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.301,,01/01/2024,12/31/2024
DC,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.834,,01/01/2024,12/31/2024
DC,HAI_3_SIR,SSI - Colon Surgery,0.517,,01/01/2024,12/31/2024
DC,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.640,,01/01/2024,12/31/2024
DC,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,2.409,,01/01/2024,12/31/2024
DC,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.313,,01/01/2024,12/31/2024
DC,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.565,,01/01/2024,12/31/2024
DC,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.036,,01/01/2024,12/31/2024
DC,HAI_5_SIR,MRSA Bacteremia,0.774,,01/01/2024,12/31/2024
DC,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.367,,01/01/2024,12/31/2024
DC,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.498,,01/01/2024,12/31/2024
DC,HAI_6_SIR,Clostridium Difficile (C.Diff),0.429,,01/01/2024,12/31/2024
DE,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.457,,01/01/2024,12/31/2024
DE,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.880,,01/01/2024,12/31/2024
DE,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.642,,01/01/2024,12/31/2024
DE,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.368,,01/01/2024,12/31/2024
DE,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.809,,01/01/2024,12/31/2024
DE,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.556,,01/01/2024,12/31/2024
DE,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.629,,01/01/2024,12/31/2024
DE,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.306,,01/01/2024,12/31/2024
DE,HAI_3_SIR,SSI - Colon Surgery,0.921,,01/01/2024,12/31/2024
DE,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.085,,01/01/2024,12/31/2024
DE,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.668,,01/01/2024,12/31/2024
DE,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.505,,01/01/2024,12/31/2024
DE,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.371,,01/01/2024,12/31/2024
DE,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.860,,01/01/2024,12/31/2024
DE,HAI_5_SIR,MRSA Bacteremia,0.577,,01/01/2024,12/31/2024
DE,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.337,,01/01/2024,12/31/2024
DE,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.499,,01/01/2024,12/31/2024
DE,HAI_6_SIR,Clostridium Difficile (C.Diff),0.412,,01/01/2024,12/31/2024
FL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.483,,01/01/2024,12/31/2024
FL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.567,,01/01/2024,12/31/2024
FL,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.524,,01/01/2024,12/31/2024
FL,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.320,,01/01/2024,12/31/2024
FL,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.384,,01/01/2024,12/31/2024
FL,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.351,,01/01/2024,12/31/2024
FL,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.657,,01/01/2024,12/31/2024
FL,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.781,,01/01/2024,12/31/2024
FL,HAI_3_SIR,SSI - Colon Surgery,0.717,,01/01/2024,12/31/2024
FL,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.773,,01/01/2024,12/31/2024
FL,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.075,,01/01/2024,12/31/2024
FL,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.915,,01/01/2024,12/31/2024
FL,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.706,,01/01/2024,12/31/2024
FL,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.826,,01/01/2024,12/31/2024
FL,HAI_5_SIR,MRSA Bacteremia,0.764,,01/01/2024,12/31/2024
FL,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.234,,01/01/2024,12/31/2024
FL,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.257,,01/01/2024,12/31/2024
FL,HAI_6_SIR,Clostridium Difficile (C.Diff),0.245,,01/01/2024,12/31/2024
GA,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.656,,01/01/2024,12/31/2024
GA,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.784,,01/01/2024,12/31/2024
GA,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.718,,01/01/2024,12/31/2024
GA,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.449,,01/01/2024,12/31/2024
GA,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.553,,01/01/2024,12/31/2024
GA,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.499,,01/01/2024,12/31/2024
GA,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.952,,01/01/2024,12/31/2024
GA,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.180,,01/01/2024,12/31/2024
GA,HAI_3_SIR,SSI - Colon Surgery,1.061,,01/01/2024,12/31/2024
GA,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,1.532,,01/01/2024,12/31/2024
GA,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,2.068,,01/01/2024,12/31/2024
GA,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.785,,01/01/2024,12/31/2024
GA,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.698,,01/01/2024,12/31/2024
GA,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.878,,01/01/2024,12/31/2024
GA,HAI_5_SIR,MRSA Bacteremia,0.784,,01/01/2024,12/31/2024
GA,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.302,,01/01/2024,12/31/2024
GA,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.344,,01/01/2024,12/31/2024
GA,HAI_6_SIR,Clostridium Difficile (C.Diff),0.322,,01/01/2024,12/31/2024
GU,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,Not Available,5,01/01/2024,12/31/2024
GU,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,Not Available,5,01/01/2024,12/31/2024
GU,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),Not Available,5,01/01/2024,12/31/2024
GU,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,Not Available,5,01/01/2024,12/31/2024
GU,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,Not Available,5,01/01/2024,12/31/2024
GU,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),Not Available,5,01/01/2024,12/31/2024
GU,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,Not Available,5,01/01/2024,12/31/2024
GU,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,Not Available,5,01/01/2024,12/31/2024
GU,HAI_3_SIR,SSI - Colon Surgery,Not Available,5,01/01/2024,12/31/2024
GU,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,Not Available,5,01/01/2024,12/31/2024
GU,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,Not Available,5,01/01/2024,12/31/2024
GU,HAI_4_SIR,SSI - Abdominal Hysterectomy,Not Available,5,01/01/2024,12/31/2024
GU,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,Not Available,5,01/01/2024,12/31/2024
GU,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,Not Available,5,01/01/2024,12/31/2024
GU,HAI_5_SIR,MRSA Bacteremia,Not Available,5,01/01/2024,12/31/2024
GU,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,Not Available,5,01/01/2024,12/31/2024
GU,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,Not Available,5,01/01/2024,12/31/2024
