"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
New Jersey,98,2,0,99,92,6,2,95,90,9,1,96,89,9,2,95,47686,12274,26,01/01/2024,12/31/2024
New Mexico,96,3,1,98,91,7,2,95,89,9,2,95,83,15,2,93,4592,1207,26,01/01/2024,12/31/2024
New York,98,2,0,99,92,6,2,95,90,8,2,96,89,9,2,95,14575,4128,28,01/01/2024,12/31/2024
North Carolina,98,2,0,99,93,6,1,96,92,6,2,96,89,9,2,95,36763,8230,22,01/01/2024,12/31/2024
North Dakota,98,2,0,99,95,4,1,97,92,6,2,96,89,9,2,96,2641,897,34,01/01/2024,12/31/2024
Ohio,98,2,0,99,93,6,1,96,91,8,1,96,89,9,2,95,45166,11432,25,01/01/2024,12/31/2024
Oklahoma,97,2,1,98,91,7,2,95,89,8,3,95,87,10,3,94,8469,2098,25,01/01/2024,12/31/2024
Oregon,97,3,0,98,92,7,1,96,87,10,3,94,86,11,3,94,18734,5673,30,01/01/2024,12/31/2024
Pennsylvania,98,2,0,99,93,6,1,96,91,7,2,96,89,9,2,95,38548,11851,31,01/01/2024,12/31/2024
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,98,1,1,99,92,7,1,95,93,6,1,96,94,3,3,97,1887,523,28,01/01/2024,12/31/2024
South Carolina,98,2,0,99,94,5,1,96,92,7,1,96,91,7,2,96,8920,2413,27,01/01/2024,12/31/2024
South Dakota,97,3,0,98,89,9,2,93,81,16,3,92,81,17,2,93,1388,407,30,01/01/2024,12/31/2024
Tennessee,97,3,0,99,93,6,1,96,91,7,2,96,89,9,2,96,47069,11310,24,01/01/2024,12/31/2024
Texas,97,3,0,98,92,6,2,95,89,9,2,95,87,11,2,95,115173,23152,20,01/01/2024,12/31/2024
Utah,98,2,0,99,92,6,2,95,90,7,3,95,88,8,4,94,842,253,30,01/01/2024,12/31/2024
Vermont,98,2,0,99,92,7,1,95,91,7,2,96,96,4,0,98,205,56,27,01/01/2024,12/31/2024
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,98,2,0,99,93,6,1,96,91,8,1,96,89,9,2,96,27325,7652,28,01/01/2024,12/31/2024
Washington,98,2,0,99,93,6,1,96,89,9,2,95,88,10,2,95,47460,10981,23,01/01/2024,12/31/2024
West Virginia,97,3,0,98,90,10,0,95,93,6,1,97,94,6,0,98,79,27,34,01/01/2024,12/31/2024
Wisconsin,98,2,0,99,94,5,1,97,90,8,2,96,88,10,2,95,18160,5810,32,01/01/2024,12/31/2024
Wyoming,98,2,0,99,93,6,1,96,89,9,2,95,88,10,2,95,3628,1184,33,01/01/2024,12/31/2024
