"State","HBIPS-2 Measure Description","S HBIPS-2 Overall Rate Per 1000","S HBIPS-2 Overall Num","S HBIPS-2 Overall Den","HBIPS-3 Measure Description","S HBIPS-3 Overall Rate Per 1000","S HBIPS-3 Overall Num","S HBIPS-3 Overall Den","SMD Measure Description","S SMD %","SUB-2/-2a Measure Description","S SUB-2 %","S SUB-2a %","SUB-3/-3a Measure Description","S SUB-3 %","S SUB-3a %","TOB-3/-3a Measure Description","S TOB-3 %","S TOB-3a %","TR-1 Measure Description","S TR-1 %","Start Date","End Date","FAPH Measure Description","S FAPH-30 %","S FAPH-7 %","FAPH Measure Start Date","FAPH Measure End Date","MedCont Measure Description","S MedCont %","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","S READM-30-IPF # IPFs Worse","S READM-30-IPF # IPFs Same","S READM-30-IPF # IPFs Better","S READM-30-IPF # IPFs Too Few","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","S IMM-2 %","Flu Season Start Date","Flu Season End Date"
GA,Hours of physical-restraint use,0.45,8043.76,746431,Hours of seclusion use,0.08,1507.64,746431,Screening for metabolic disorders (SMD),80,Alcohol use brief intervention provided or offered,60,72,Alcohol and other drug use disorder treatment provided or offered at discharge,63,56,Tobacco use treatment provided or offered at discharge,55,18,Transition record with specified elements received by discharged patients (TR1),61,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,55.9,30.7,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,74,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),2,34,2,3,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),74,10/01/2023,03/31/2024
HI,Hours of physical-restraint use,0.01,5.09,27347,Hours of seclusion use,0.02,12.47,27347,Screening for metabolic disorders (SMD),15,Alcohol use brief intervention provided or offered,35,75,Alcohol and other drug use disorder treatment provided or offered at discharge,72,57,Tobacco use treatment provided or offered at discharge,9,1,Transition record with specified elements received by discharged patients (TR1),33,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,26.9,15.4,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,1,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),45,10/01/2023,03/31/2024
IA,Hours of physical-restraint use,0.38,955.73,103602,Hours of seclusion use,0.48,1190.22,103602,Screening for metabolic disorders (SMD),86,Alcohol use brief intervention provided or offered,45,50,Alcohol and other drug use disorder treatment provided or offered at discharge,58,44,Tobacco use treatment provided or offered at discharge,46,6,Transition record with specified elements received by discharged patients (TR1),72,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,70.2,41.2,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,85.2,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,14,1,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),84,10/01/2023,03/31/2024
ID,Hours of physical-restraint use,0.06,184.22,121902,Hours of seclusion use,0.17,506.66,121902,Screening for metabolic disorders (SMD),92,Alcohol use brief intervention provided or offered,87,88,Alcohol and other drug use disorder treatment provided or offered at discharge,81,66,Tobacco use treatment provided or offered at discharge,78,29,Transition record with specified elements received by discharged patients (TR1),85,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,59.8,34.4,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,72.4,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),1,7,1,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),84,10/01/2023,03/31/2024
IL,Hours of physical-restraint use,0.22,4957.45,934851,Hours of seclusion use,0.08,1806.4,934851,Screening for metabolic disorders (SMD),84,Alcohol use brief intervention provided or offered,69,79,Alcohol and other drug use disorder treatment provided or offered at discharge,68,56,Tobacco use treatment provided or offered at discharge,57,26,Transition record with specified elements received by discharged patients (TR1),71,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,59.6,31.9,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,78,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),7,41,0,8,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),85,10/01/2023,03/31/2024
IN,Hours of physical-restraint use,0.32,4409.76,580532,Hours of seclusion use,0.54,7409.54,574243,Screening for metabolic disorders (SMD),64,Alcohol use brief intervention provided or offered,33,73,Alcohol and other drug use disorder treatment provided or offered at discharge,58,53,Tobacco use treatment provided or offered at discharge,41,12,Transition record with specified elements received by discharged patients (TR1),57,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,63,36.2,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,80.5,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),3,41,1,5,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),65,10/01/2023,03/31/2024
KS,Hours of physical-restraint use,0.19,498.19,110980,Hours of seclusion use,0.16,439.35,110980,Screening for metabolic disorders (SMD),71,Alcohol use brief intervention provided or offered,38,71,Alcohol and other drug use disorder treatment provided or offered at discharge,56,46,Tobacco use treatment provided or offered at discharge,42,2,Transition record with specified elements received by discharged patients (TR1),61,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,66,40.6,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,77.5,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),1,14,2,0,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),87,10/01/2023,03/31/2024
KY,Hours of physical-restraint use,0.36,3091.43,356225,Hours of seclusion use,0.09,797.78,356225,Screening for metabolic disorders (SMD),91,Alcohol use brief intervention provided or offered,72,84,Alcohol and other drug use disorder treatment provided or offered at discharge,82,62,Tobacco use treatment provided or offered at discharge,66,14,Transition record with specified elements received by discharged patients (TR1),82,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,55.6,28.7,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,81.3,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,29,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),83,10/01/2023,03/31/2024
LA,Hours of physical-restraint use,0.11,2292.44,881798,Hours of seclusion use,0.11,2408.44,881798,Screening for metabolic disorders (SMD),83,Alcohol use brief intervention provided or offered,54,81,Alcohol and other drug use disorder treatment provided or offered at discharge,71,57,Tobacco use treatment provided or offered at discharge,61,13,Transition record with specified elements received by discharged patients (TR1),69,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,51.2,32.1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,79.3,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),6,65,1,5,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),80,10/01/2023,03/31/2024
MA,Hours of physical-restraint use,0.28,6781.94,1023825,Hours of seclusion use,0.09,2262.29,1023825,Screening for metabolic disorders (SMD),79,Alcohol use brief intervention provided or offered,71,79,Alcohol and other drug use disorder treatment provided or offered at discharge,78,64,Tobacco use treatment provided or offered at discharge,56,7,Transition record with specified elements received by discharged patients (TR1),71,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,72.4,45.2,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,80.3,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),3,45,0,3,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),74,10/01/2023,03/31/2024
MD,Hours of physical-restraint use,0.44,4326.66,412375,Hours of seclusion use,0.29,2898.79,412375,Screening for metabolic disorders (SMD),16,Alcohol use brief intervention provided or offered,76,75,Alcohol and other drug use disorder treatment provided or offered at discharge,66,53,Tobacco use treatment provided or offered at discharge,84,3,Transition record with specified elements received by discharged patients (TR1),60,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,69.8,43.6,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,79.7,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,3,0,4,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),68,10/01/2023,03/31/2024
ME,Hours of physical-restraint use,0.35,836.06,99838,Hours of seclusion use,0.53,1257.98,99838,Screening for metabolic disorders (SMD),90,Alcohol use brief intervention provided or offered,88,85,Alcohol and other drug use disorder treatment provided or offered at discharge,58,43,Tobacco use treatment provided or offered at discharge,31,5,Transition record with specified elements received by discharged patients (TR1),84,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,69.9,42.8,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,85.9,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,4,2,2,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),38,10/01/2023,03/31/2024
MI,Hours of physical-restraint use,0.38,6908.7,759726,Hours of seclusion use,0.21,3837.97,759726,Screening for metabolic disorders (SMD),79,Alcohol use brief intervention provided or offered,56,68,Alcohol and other drug use disorder treatment provided or offered at discharge,61,43,Tobacco use treatment provided or offered at discharge,56,23,Transition record with specified elements received by discharged patients (TR1),52,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,62.5,37.7,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,87.2,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),2,46,2,5,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),79,10/01/2023,03/31/2024
MN,Hours of physical-restraint use,2.38,11206.65,196294,Hours of seclusion use,3.05,14370.66,196294,Screening for metabolic disorders (SMD),86,Alcohol use brief intervention provided or offered,59,75,Alcohol and other drug use disorder treatment provided or offered at discharge,62,48,Tobacco use treatment provided or offered at discharge,47,4,Transition record with specified elements received by discharged patients (TR1),63,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,73.8,39.1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,91.2,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,15,5,5,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),73,10/01/2023,03/31/2024
MO,Hours of physical-restraint use,0.07,1380.48,794634,Hours of seclusion use,0.12,2244.46,794634,Screening for metabolic disorders (SMD),78,Alcohol use brief intervention provided or offered,72,79,Alcohol and other drug use disorder treatment provided or offered at discharge,69,56,Tobacco use treatment provided or offered at discharge,56,5,Transition record with specified elements received by discharged patients (TR1),53,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,56.4,30.7,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,79.9,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,26,2,8,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),76,10/01/2023,03/31/2024
MS,Hours of physical-restraint use,0.64,4488.3,291696,Hours of seclusion use,0.19,1335.67,291696,Screening for metabolic disorders (SMD),89,Alcohol use brief intervention provided or offered,72,92,Alcohol and other drug use disorder treatment provided or offered at discharge,65,60,Tobacco use treatment provided or offered at discharge,57,8,Transition record with specified elements received by discharged patients (TR1),73,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,46.6,23.5,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,76.9,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),4,32,1,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),79,10/01/2023,03/31/2024
MT,Hours of physical-restraint use,0.17,39.79,9731,Hours of seclusion use,0.84,196.15,9731,Screening for metabolic disorders (SMD),86,Alcohol use brief intervention provided or offered,92,95,Alcohol and other drug use disorder treatment provided or offered at discharge,56,21,Tobacco use treatment provided or offered at discharge,92,0,Transition record with specified elements received by discharged patients (TR1),79,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,1,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),77,10/01/2023,03/31/2024
NC,Hours of physical-restraint use,0.23,4801.71,863880,Hours of seclusion use,0.11,2329.55,863880,Screening for metabolic disorders (SMD),83,Alcohol use brief intervention provided or offered,64,82,Alcohol and other drug use disorder treatment provided or offered at discharge,85,79,Tobacco use treatment provided or offered at discharge,64,25,Transition record with specified elements received by discharged patients (TR1),53,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,58.2,33.3,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,78.6,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,39,1,3,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),77,10/01/2023,03/31/2024
ND,Hours of physical-restraint use,0.17,394.53,95301,Hours of seclusion use,0.85,1951.39,95301,Screening for metabolic disorders (SMD),61,Alcohol use brief intervention provided or offered,56,62,Alcohol and other drug use disorder treatment provided or offered at discharge,57,32,Tobacco use treatment provided or offered at discharge,38,6,Transition record with specified elements received by discharged patients (TR1),66,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,68.5,37.8,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,82.5,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,5,1,0,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),77,10/01/2023,03/31/2024
NE,Hours of physical-restraint use,0.10,275.31,110243,Hours of seclusion use,0.05,123.41,110243,Screening for metabolic disorders (SMD),95,Alcohol use brief intervention provided or offered,72,77,Alcohol and other drug use disorder treatment provided or offered at discharge,82,70,Tobacco use treatment provided or offered at discharge,53,17,Transition record with specified elements received by discharged patients (TR1),80,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,67.2,44.3,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,82.7,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,6,2,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),90,10/01/2023,03/31/2024
NH,Hours of physical-restraint use,0.49,1331.57,113240,Hours of seclusion use,1.41,3832.77,113240,Screening for metabolic disorders (SMD),93,Alcohol use brief intervention provided or offered,55,71,Alcohol and other drug use disorder treatment provided or offered at discharge,65,52,Tobacco use treatment provided or offered at discharge,59,20,Transition record with specified elements received by discharged patients (TR1),52,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,78,53.1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,85.3,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,11,1,0,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),65,10/01/2023,03/31/2024
NJ,Hours of physical-restraint use,0.37,8949.73,1008198,Hours of seclusion use,0.10,2356.46,1008198,Screening for metabolic disorders (SMD),91,Alcohol use brief intervention provided or offered,64,85,Alcohol and other drug use disorder treatment provided or offered at discharge,90,82,Tobacco use treatment provided or offered at discharge,67,23,Transition record with specified elements received by discharged patients (TR1),78,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,61,38.6,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,82.6,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),1,32,1,5,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),86,10/01/2023,03/31/2024
