"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
01C0001062,SURGICAL CLINIC SOLUTIONS LLC DBA SURGICAL INSTITUTE OF ALABAMA,1021 MONTGOMERY HIGHWAY SUITE 100,VESTAVIA HILLS,AL,35216,,(205) 421-4803,97,2,1,98,92,7,1,95,91,7,2,95,89,8,3,95,3,897,264,29,01/01/2024,12/31/2024
01C0001065,EAST ALABAMA AMBULATORY SURGERY CENTER,900 CAMP AUBURN ROAD SUITE 200,AUBURN,AL,36832,,(000) 000-0000,99,1,0,99,93,5,2,96,95,5,0,98,95,3,2,97,3,1135,330,29,01/01/2024,12/31/2024
01C0001066,GUT ENDO LLC DBA CENTER FOR DIGESTIVE HEALTH,301 MEDICAL PARK BOULEVARD,DOTHAN,AL,36301,,(334) 836-1212,99,1,0,99,94,6,0,97,93,7,0,97,87,13,0,96,"3,10",143,32,22,01/01/2024,12/31/2024
01C0001068,UNITED VASCULAR OF HUNTSVILLE LLC,4700 WHITESBURG DRIVE SOUTHWEST SUITE 300,HUNTSVILLE,AL,35802,,(804) 655-6150,97,2,1,98,90,6,4,94,90,7,3,96,95,5,0,99,"3,10",163,27,17,01/01/2024,12/31/2024
02C0001011,PROVIDENCE SURGERY CENTERS LLC,3831 PIPER ST. S110,ANCHORAGE,AK,99508,,(907) 339-7800,,,,,,,,,,,,,,,,,1,,,,,
02C0001018,SUSITNA SURGERY CENTER LLC,2490 SOUTH WOODWORTH LOOP SUITE 100,PALMER,AK,99645,,(907) 861-6540,98,1,1,99,95,5,0,97,89,4,7,93,85,15,0,95,"3,10",254,30,12,01/01/2024,12/31/2024
03C0001016,SURGERY CENTER OF PEORIA,13260 NORTH 94TH DR SUITE 200,PEORIA,AZ,85381,,(623) 234-4307,98,2,0,99,92,6,2,95,93,6,1,96,90,8,2,96,,492,111,23,01/01/2024,12/31/2024
03C0001021,EYE INSTITUTE AT BOSWELL DBA SUN CITY EYE,10541 WEST THUNDERBIRD BLVD,SUN CITY,AZ,85351,,(623) 933-3402,96,4,0,98,90,8,2,94,89,9,2,95,85,11,4,93,3,912,269,29,01/01/2024,12/31/2024
03C0001043,PRESCOTT OUTPATIENT SURGICAL CENTER,815 AINSWORTH DR.,PRESCOTT,AZ,86301,,(928) 443-6566,98,2,0,99,92,6,2,95,91,8,1,96,91,8,1,97,,753,296,39,01/01/2024,12/31/2024
03C0001052,CENTER FOR ADVANCED SURGERY,3367 SOUTH MERCY RD SUITE 101,GILBERT,AZ,85297,,(480) 899-2571,98,2,0,99,94,5,1,97,95,4,1,97,92,7,1,96,,1014,266,26,01/01/2024,12/31/2024
03C0001056,PHYSICIANS SURGERY CENTER OF TEMPE LLC DBA PHYSICIANS SURGERY CENTER OF TEMPE,2905 WEST WARNER RD SUITE 10,CHANDLER,AZ,85282,,(480) 820-7101,96,4,0,98,91,7,2,95,88,10,2,95,82,16,2,93,,1082,212,20,01/01/2024,12/31/2024
03C0001071,NORTHERN ARIZONA HEALTHCARE ORTHOPEDIC SURGERY CENTER LLC,2100 NORTH BEAVER ST,FLAGSTAFF,AZ,86001,,(928) 214-3709,98,2,0,99,92,7,1,96,88,11,1,96,86,13,1,95,,1228,348,28,01/01/2024,12/31/2024
03C0001080,SUN CITY AZ ENDOSCOPY ASC LLC,13640 N. 99 AVE. STE. 700,SUN CITY,AZ,85351,,(623) 523-0501,97,3,0,98,94,4,2,96,92,6,2,97,92,5,3,96,3,734,259,35,01/01/2024,12/31/2024
03C0001202,RUMMEL EYE CARE,1022 WILLOW CREEK RD,PRESCOTT,AZ,86301,,(928) 445-1341,98,2,0,99,93,6,1,96,87,9,4,94,86,9,5,94,"3,6",137,64,47,01/01/2024,12/31/2024
03C0001207,ARIZONA OPHTHALMIC OUTPATIENT SURGERY,"300 E. OSBORN RD, #102",PHOENIX,AZ,85012,,(602) 234-8478,94,6,0,97,84,13,3,90,79,16,5,91,76,20,4,90,3,639,163,26,01/01/2024,12/31/2024
03C0001235,ARIZONA ENDOSCOPY CENTER LLC,1410 EAST MCDOWELL RD,PHOENIX,AZ,85006,,(602) 716-9655,98,2,0,99,92,6,2,95,89,11,0,95,88,10,2,95,3,497,145,29,01/01/2024,12/31/2024
03C0001239,THUNDERBIRD ENDOSCOPY CENTER,5823 WEST EUGIE AVE,GLENDALE,AZ,85308,,(602) 424-4040,,,,,,,,,,,,,,,,,1,,,,,
03C0001247,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF SCOTTSDALE,8962 EAST DESERT COVE AVE SUITE 120A,SCOTTSDALE,AZ,85260,,(480) 661-5232,98,2,0,99,91,7,2,95,89,10,1,95,86,12,2,94,,1836,564,31,01/01/2024,12/31/2024
03C0001248,SUNRISE AMBULATORY SURGICAL CENTER,5448 SOUTH WHITE MOUNTAIN BLVD SUITE 100,LAKESIDE,AZ,85929,,(928) 532-3010,95,4,1,97,90,7,3,93,84,13,3,93,87,9,4,94,"3,6",394,95,24,01/01/2024,12/31/2024
03C0001249,SCOTTSDALE ENDOSCOPY ASC LLC DBA SCOTTSDALE ENDOSCOPY CENTER,9787 NORTH 91ST STREET SUITE 103,SCOTTSDALE,AZ,85258,,(480) 657-0889,97,3,0,98,92,6,2,95,90,9,1,95,86,12,2,94,,1019,244,24,01/01/2024,12/31/2024
03C0001259,TUCSON DIGESTIVE INSTITUTE LLC DBA ARIZONA DIGESTIVE INSTITUTE,7566 NORTH LA CHOLLA BLVD SUITE B,TUCSON,AZ,85741,,(520) 547-5847,94,5,1,96,88,9,3,93,79,15,6,91,75,21,4,90,,1149,319,28,01/01/2024,12/31/2024
03C0001260,EAST VALLEY ENDOSCOPY,6020 EAST ARBOR AVE #105,MESA,AZ,85206,,(480) 830-2005,98,2,0,99,92,6,2,95,92,6,2,96,88,9,3,95,3,472,164,35,01/01/2024,12/31/2024
03C0001265,ST JOSEPH'S OUTPATIENT SURGERY CENTER LLC,240 W. THOMAS RD,PHOENIX,AZ,85013,,(602) 406-3552,95,5,0,97,90,9,1,94,86,9,5,93,77,18,5,90,,1155,179,15,01/01/2024,12/31/2024
03C0001266,PHOENIX ENDOSCOPY LLC,349 E. CORONADO RD,PHOENIX,AZ,85004,,(602) 266-5678,98,1,1,99,95,4,1,97,93,6,1,97,91,6,3,95,3,614,131,21,01/01/2024,12/31/2024
03C0001279,CHANDLER ENDOSCOPY AMBULATORY SURGERY CENTER LLC DBA CHANDLER ENDOSCOPY CENTER,2095 WEST PECOS RD SUITE A1,CHANDLER,AZ,85224,,(480) 292-9795,98,2,0,99,92,6,2,95,91,7,2,96,88,10,2,95,,1012,236,23,01/01/2024,12/31/2024
03C0001289,CAMP LOWELL SURGERY CENTER DBA CARONDELET FOOTHILLS SURGERY CENTER,2220 WEST ORANGE GROVE ROAD,TUCSON,AZ,85741,,(520) 877-5660,96,3,1,98,92,6,2,95,86,11,3,94,84,14,2,94,,927,244,26,01/01/2024,12/31/2024
03C0001290,CAMP LOWELL SURGERY CENTER LLC DBA CAMP LOWELL SURGERY CENTER,4620 EAST CAMP LOWELL DR,TUCSON,AZ,85712,,(520) 618-6058,95,4,1,97,92,7,1,95,87,11,2,95,86,12,2,94,,533,198,37,01/01/2024,12/31/2024
03C0001293,CATALINA SURGERY CENTER,7508 NORTH LA CHOLLA BLVD,TUSCON,AZ,85741,,(520) 547-7450,99,1,0,99,94,5,1,97,95,4,1,96,92,8,0,97,"3,6",151,59,39,01/01/2024,12/31/2024
03C0001295,NORTH VALLEY ENDOSCOPY CENTER,15255 NORTH 40TH ST BUILDING 8-157,PHOENIX,AZ,85032,,(602) 482-1001,99,1,0,99,96,4,0,98,94,5,1,97,93,4,3,96,3,557,183,33,01/01/2024,12/31/2024
03C0001298,SURGICAL ELITE OF AVONDALE,10815 WEST MCDOWELL RD SUITE 101,AVONDALE,AZ,85392,,(623) 433-0192,98,2,0,99,92,7,1,95,89,10,1,96,86,12,2,95,,1212,212,18,01/01/2024,12/31/2024
03C0001299,THE ORTHOPEDIC SURGERY CENTER OF ARIZONA,2262 EAST ROSE GARDEN LANE,PHOENIX,AZ,85024,,(602) 424-4408,98,2,0,99,92,6,2,95,90,10,0,96,87,12,1,95,,752,187,25,01/01/2024,12/31/2024
03C0001302,METRO SURGERY CENTER,6790 WEST THUNDERBIRD RD,PEORIA,AZ,85268,,(623) 385-8901,97,3,0,98,91,7,2,95,88,10,2,95,84,14,2,94,3,712,159,22,01/01/2024,12/31/2024
03C0001305,DESERT RIDGE OUTPATIENT SURGERY CENTER,20940 NORTH TATUM BLVD SUITE 100,PHOENIX,AZ,85050,,(480) 502-4000,98,2,0,99,92,6,2,95,87,11,2,95,88,10,2,95,,678,176,26,01/01/2024,12/31/2024
03C0001313,SOUTHWEST ENDOSCOPY CENTER,2223 EAST BASELINE ROAD,GILBERT,AZ,85234,,(000) 000-0000,96,3,1,98,90,8,2,94,87,9,4,94,83,15,2,93,,1408,321,23,01/01/2024,12/31/2024
03C0001330,EYE SURGERY CENTER AT THE BILTMORE,2222 EAST HIGHLAND AVE SUITE 100,PHOENIX,AZ,85016,,(602) 279-2434,89,10,1,94,83,14,3,90,71,22,7,89,68,28,4,88,3,764,195,26,01/01/2024,12/31/2024
03C0001345,ARIZONA ADVANCED ENDOSCOPY LLC,2680 S. VAL VISTA DR. STE. 127,GILBERT,AZ,85295,,(480) 253-5660,98,2,0,99,90,9,1,94,90,9,1,96,89,11,0,96,3,643,151,23,01/01/2024,12/31/2024
03C0001347,SURGCENTER AT PARADISE VALLEY LLC DBA SURGCENTER AT PIMA CROSSING,8415 NORTH PIMA RD SUITE 190,SCOTTSDALE,AZ,85258,,(480) 800-3206,96,3,1,98,92,6,2,95,89,9,2,95,82,14,4,92,,704,170,24,01/01/2024,12/31/2024
03C0001352,SURGCENTER OF DEER VALLEY LLC,19820 NORTH 7TH ST SUITE 190,PHOENIX,AZ,85024,,(602) 904-7039,95,4,1,97,88,9,3,92,87,10,3,94,82,16,2,93,,736,215,29,01/01/2024,12/31/2024
03C0001356,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF GLENDALE,18555 NORTH 79TH AVE BUILDING C,GLENDALE,AZ,85308,,(623) 776-2500,99,1,0,99,92,7,1,96,94,5,1,97,88,9,3,94,,1133,267,24,01/01/2024,12/31/2024
03C0001357,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF GILBERT,2450 EAST GUADALUPE RD SUITE 101,GILBERT,AZ,85234,,(480) 398-8456,98,2,0,99,96,3,1,97,94,5,1,97,94,6,0,98,,932,245,26,01/01/2024,12/31/2024
03C0001359,SURGCENTER TUCSON LLC,3935 E. FT. LOWELL RD,TUCSON,AZ,85712,,(520) 396-4420,97,2,1,98,89,9,2,93,88,10,2,94,83,14,3,93,,553,217,39,01/01/2024,12/31/2024
03C0001361,SURGCENTER CAMELBACK,6245 NORTH 24TH PARKWAY SUITE 112,PHOENIX,AZ,85016,,(602) 682-7005,96,4,0,98,92,6,2,95,88,10,2,94,85,12,3,94,,900,234,26,01/01/2024,12/31/2024
03C0001381,SPECTRA EYE INSTITUTE LLC,15401 NORTH 29TH AVE SUITE 201,PHOENIX,AZ,85053,,(623) 583-2020,92,7,1,96,83,15,2,91,70,29,1,92,81,19,0,94,"3,10",113,29,26,01/01/2024,12/31/2024
03C0001393,ORO VALLEY SURGICAL SUITES LLC,8500 NORTH ORACLE RD SUITE 150,ORO VALLEY,AZ,85704,,(520) 462-0220,98,2,0,99,94,5,1,97,97,2,1,97,96,3,1,98,,487,260,53,01/01/2024,12/31/2024
03C0001394,PHOENIX SPINE GOODYEAR ASC LLC DBA PHOENIX SPINE GOODYEAR AMBULATORY SURGERY CENTER,140 NORTH LITCHFIELD ROAD SUITE 110,GOODYEAR,AZ,85338,,(602) 533-2160,98,2,0,99,88,10,2,93,85,13,2,95,84,13,3,93,3,410,170,42,01/01/2024,12/31/2024
03C0001395,ORTHOARIZONA SURGERY CENTER GILBERT,1675 EAST MELROSE ST SUITE 201,GILBERT,AZ,85297,,(480) 519-8100,98,2,0,99,94,5,1,97,93,6,1,96,91,8,1,96,,949,271,29,01/01/2024,12/31/2024
03C0001408,YUMA ADVANCED SURGICAL SUITES,1030 WEST 24TH ST SUITE H,YUMA,AZ,85364,,(928) 259-7522,97,3,0,99,93,6,1,96,93,7,0,97,92,7,1,97,,596,218,37,01/01/2024,12/31/2024
03C0001414,WESTGATE SURGERY CENTER,7730 NORTH 99TH AVE SUITE 100,GLENDALE,AZ,85307,,(623) 888-5500,99,1,0,99,93,6,1,96,96,3,1,97,93,6,1,97,,1857,381,21,01/01/2024,12/31/2024
03C0001416,WYATT SURGERY CENTER,2424 NORTH WYATT DR SUITE 160,TUCSON,AZ,85750,,(520) 815-5050,96,3,1,97,90,8,2,94,93,5,2,97,88,10,2,95,"3,6",220,63,29,01/01/2024,12/31/2024
03C0001428,SOUTHWEST CARDIOVASCULAR INTERVENTIONAL CENTER LLC,7529 EAST BROADWAY ROAD SUITE 104,MESA,AZ,85208,,(480) 945-4343,97,3,0,98,89,8,3,93,87,10,3,94,83,16,1,94,"3,6",176,65,37,01/01/2024,12/31/2024
03C0001429,TUCSON SURGERY CENTER,2121 NORTH CRAYCROFT BUILDING 8,TUCSON,AZ,85712,,(000) 000-0000,97,3,0,98,94,4,2,96,90,6,4,95,89,5,6,93,"3,6",291,90,31,01/01/2024,12/31/2024
03C0001434,UROLOGY ASC PHOENIX DBA UROLOGIC SURGERY CENTER OF ARIZONA,1313 EAST OSBORD ROAD SUITE 170B,PHOENIX,AZ,85014,,(410) 581-1600,95,4,1,97,85,13,2,91,82,15,3,92,76,19,5,90,,1043,203,20,01/01/2024,12/31/2024
03C0001436,TUCSON ENDOSCOPY CENTER,7140 EAST ROSEWOOD STREET SUITE 100,TUCSON,AZ,85710,,(000) 000-0000,96,3,1,98,97,2,1,98,94,4,2,97,89,9,2,95,"3,6",363,68,19,01/01/2024,12/31/2024
03C0001445,ALOE SURGICAL CENTER SCOTTSDALE LLC,9700 NORTH 91ST STREET SUITE C100,SCOTTSDALE,AZ,85258,,(602) 533-2161,96,4,0,98,88,9,3,93,91,5,4,94,85,13,2,94,"3,6",163,54,33,01/01/2024,12/31/2024
03C0001456,UROLOGY ASC PHOENIX LLC DBA UROLOGIC SURGERY CENTER OF ARIZONA,17300 NORTH PERIMETER DRIVE SUITE 200,SCOTTSDALE,AZ,85255,,(480) 661-2662,97,2,1,98,88,10,2,93,88,10,2,94,85,13,2,94,,917,248,27,01/01/2024,12/31/2024
03C0001460,SURGCENTER NORTHERN PHOENIX LLC,2611 WEST CAREFREE HIGHWAY BUILDING E,PHOENIX,AZ,85085,,(623) 213-8609,98,2,0,99,94,5,1,97,95,5,0,98,88,12,0,96,"3,10",153,49,32,01/01/2024,12/31/2024
03C0001462,TRI CITY SURGICAL CENTERS LLC,143 SOUTH 63RD STREET,MESA,AZ,85205,,(480) 835-6100,,,,,,,,,,,,,,,,,1,,,,,
03C0001473,CARDIAC SURGERY CENTER OF ARIZONA LLC,20199 NORTH 67TH AVENUE,GLENDALE,AZ,85308,,(623) 561-9002,,,,,,,,,,,,,,,,,1,,,,,
04C0001019,FAYETTEVILLE ASC LLC DBA NORTH HILLS GASTROENTEROLOGY ENDOSCOPY CENTER,3344 N. FUTRALL DR.,FAYETTEVILLE,AR,72703,,(479) 582-7280,98,2,0,99,94,5,1,96,92,6,2,96,89,9,2,95,3,514,166,32,01/01/2024,12/31/2024
04C0001029,BOOZMAN HOF EYE SURGERY AND LASER CENTER,3737 WEST WALNUT,ROGERS,AR,72757,,(479) 246-1751,98,2,0,99,93,6,1,96,90,7,3,94,89,7,4,94,"3,6",265,60,23,01/01/2024,12/31/2024
04C0001047,BAKER EYE INSTITUTE,810 MERRIMAN ST,CONWAY,AR,72032,,(501) 329-3937,97,3,0,98,86,10,4,91,83,17,0,94,82,13,5,91,"3,10",249,41,16,01/01/2024,12/31/2024
04C0001048,JONESBORO SURGERY CENTER LLC,623 EAST MATTHEWS AVE SUITE C,JONESBORO,AR,72401,,(870) 934-8010,98,2,0,99,97,3,0,99,92,4,4,96,96,0,4,98,"3,10",100,30,30,01/01/2024,12/31/2024
04C0001059,EXECUTIVE PARK SURGERY CENTER OF FORT SMITH INC,3314 SOUTH 70TH ST,FORT SMITH,AR,72903,,(479) 478-3030,97,3,0,98,87,10,3,92,92,6,2,96,86,11,3,94,3,583,127,22,01/01/2024,12/31/2024
04C0001075,SOUTH ARKANSAS SURGERY CENTER,2704 VINE ST,EL DORADO,AR,71730,,(870) 862-1636,99,1,0,100,91,7,2,94,89,9,2,96,88,10,2,95,"3,6",276,62,22,01/01/2024,12/31/2024
04C0001081,NATIONAL PARK ENDOSCOPY CENTER LLC DBA SOUTH CENTRAL ENDOSCOPY,124 SAWTOOTH OAK ST,HOT SPRINGS,AR,71901,,(501) 623-7800,97,3,0,98,90,7,3,93,85,14,1,94,84,14,2,94,,743,144,19,01/01/2024,12/31/2024
04C0001105,ORTHOARKANSAS SPINE INSTITUTE PROCEDURE CENTER LLC,800 FAIR PARK BOULEVARD SUITE 300,LITTLE ROCK,AR,72204,,(000) 000-0000,98,2,0,99,92,6,2,95,88,10,2,96,90,7,3,95,"3,6",294,97,33,01/01/2024,12/31/2024
04C0001118,PINNACLE SURGERY CENTER LLC,3721 CHAMPIONS DRIVE SUITE 100,ROGERS,AR,72758,,(501) 519-5401,98,2,0,99,93,6,1,96,96,4,0,98,97,3,0,99,3,367,123,35,01/01/2024,12/31/2024
05C0001006,SAN GABRIEL VALLEY SURGICAL CENTER LP,1250 SOUTH SUNSET AVE SUITE 100,WEST COVINA,CA,91790,,(626) 960-6623,96,4,0,98,89,8,3,93,85,11,4,93,80,18,2,93,,762,228,30,01/01/2024,12/31/2024
05C0001028,MONTEREY PENINSULA SURGERY CENTER LLC,"966 CASS ST, SUITE 150",MONTEREY,CA,93940,,(831) 372-2169,95,5,0,97,94,4,2,96,74,22,4,91,79,15,6,90,"3,6",302,68,23,01/01/2024,12/31/2024
05C0001033,GREATER SACRAMENTO SURGERY CENTER,2288 AUBURN BLVD STE. 201,SACRAMENTO,CA,95821,,(916) 929-7229,,,,,,,,,,,,,,,,,1,,,,,
05C0001076,INLAND EYE SPECIALISTS A MEDICAL CORP,3953 W. STETSON AVE.,HEMET,CA,92545,,(951) 652-4343,94,5,1,96,82,10,8,87,70,22,8,87,71,21,8,88,"3,10",158,25,16,01/01/2024,12/31/2024
05C0001087,SHASTA EYE SURGEONS INC,950 BUTTE ST,REDDING,CA,96001,,(530) 226-5966,99,1,0,99,93,7,0,96,90,9,1,96,85,11,4,93,"3,10",89,32,36,01/01/2024,12/31/2024
05C0001174,MISSION AMBULATORY SURGICENTER,26730 CROWN VALLEY PARKWAY SUITE 100,MISSION VIEJO,CA,92691,,(949) 364-2201,97,3,0,99,91,7,2,95,91,8,1,96,87,10,3,94,,1193,233,20,01/01/2024,12/31/2024
05C0001189,CAMPUS SURGERY CENTER LLC,901 CAMPUS DR SUITE 102,DALY CITY,CA,94015,,(650) 991-2000,96,4,0,98,92,7,1,96,84,13,3,93,83,13,4,93,3,515,135,26,01/01/2024,12/31/2024
05C0001198,HEALTHCARE PARTNER AMBULATORY SURGERY CENTER,"2600 REDONDO AVE, SUITE 103",LONG BEACH,CA,90806,,(562) 988-7162,97,3,0,98,91,7,2,94,83,15,2,94,82,15,3,92,,1042,269,26,01/01/2024,12/31/2024
05C0001204,CENTER FOR ENDOSCOPY LLC,3921 WARING RD SUITE B,OCEANSIDE,CA,92056,,(740) 940-6300,98,2,0,99,91,8,1,95,90,9,1,95,90,10,0,96,3,635,176,28,01/01/2024,12/31/2024
05C0001243,NEWPORT BEACH SURGERY CENTER L P,361 HOSPITAL RD.,NEWPORT BEACH,CA,92663,,(949) 631-0988,97,3,0,99,95,4,1,97,94,5,1,97,90,8,2,96,,1265,247,20,01/01/2024,12/31/2024
05C0001262,SALINAS SURGERY CENTER,955 BLANCO CIR. STE. 1,SALINAS,CA,93901,,(831) 372-2169,93,7,0,97,85,13,2,92,82,8,10,91,74,19,7,88,"3,10",256,46,18,01/01/2024,12/31/2024
05C0001263,LA JOLLA ENDOSCOPY CENTER,9850 GENESSE AVE SUITE 980,LA JOLLA,CA,92037,,(858) 453-7525,97,3,0,98,93,6,1,96,92,6,2,95,88,8,4,94,3,549,184,34,01/01/2024,12/31/2024
05C0001287,THE ENDOSCOPY CENTER,870 SHASTA ST,YUBA CITY,CA,95991,,(530) 671-3671,96,4,0,98,85,8,7,89,80,16,4,92,88,12,0,96,"3,10",122,27,22,01/01/2024,12/31/2024
05C0001313,SEQUOIA SURGERY CENTER LLC,842 SOUTH AKERS ST,VISALIA,CA,93277,,(559) 740-4094,93,7,0,96,91,9,0,95,99,1,0,98,98,1,1,99,"3,10",132,40,30,01/01/2024,12/31/2024
05C0001318,ENDOSCOPY CENTER OF THE CENTRAL COAST,77 CASA ST SUITE 106,SAN LUIS OBISPO,CA,93405,,(805) 541-1021,97,2,1,98,91,7,2,95,87,9,4,93,86,9,5,93,3,443,114,26,01/01/2024,12/31/2024
05C0001321,EL MIRADOR SURGERY CENTER LLC DBA EL MIRADOR SURGERY CENTER,1180 NORTH INDIAN CANYON DR SUITE W110,PALM SPRINGS,CA,92262,,(760) 416-4600,95,4,1,97,89,9,2,93,89,9,2,95,86,12,2,95,,1295,311,24,01/01/2024,12/31/2024
05C0001368,GASTROENTEROLOGY ASSOCIATES ENDOSCOPY CENTER DBA REDDING ENDOSCOPY CENTER,2179 COURT STREET,REDDING,CA,96001,,(530) 246-7000,97,3,0,98,87,10,3,92,88,10,2,95,88,10,2,95,3,622,181,29,01/01/2024,12/31/2024
05C0001438,ENDOSCOPY CENTER OF MARIN,1100 SOUTH ELISEO DR SUITE 3,GREENBRAE,CA,94904,,(415) 526-6848,95,4,1,97,87,10,3,92,87,7,6,94,84,10,6,92,3,649,155,24,01/01/2024,12/31/2024
05C0001445,ORTHOPEDIC SURGERY CENTER OF OC LLC,"22 CORPORATE PLAZA, SUITE 150",NEWPORT BEACH,CA,92660,,(949) 515-0708,,,,,,,,,,,,,,,,,1,,,,,
05C0001447,COAST SURGERY CENTER LP,3445 PACIFIC COAST HWY SUITE 110,TORRANCE,CA,90505,,(310) 325-4555,98,2,0,99,92,5,3,94,91,8,1,96,83,15,2,93,,968,240,25,01/01/2024,12/31/2024
05C0001481,PAIN DIAGNOSTIC & TREATMENT CENTER,2805 J ST SUITE 200,SACRAMENTO,CA,95816,,(916) 231-8755,97,3,0,98,91,7,2,94,86,12,2,95,83,15,2,93,,1197,348,29,01/01/2024,12/31/2024
05C0001493,NORTH STATE SURGERY CENTERS LP DBA CT ST SURGERY CENTER,2184 CT ST,REDDING,CA,96001,,(530) 225-7417,98,2,0,99,90,8,2,94,88,10,2,95,86,12,2,94,,665,197,30,01/01/2024,12/31/2024
